gyro_1_x,gyro_1_y,gyro_1_z,accel_1_x,accel_1_y,accel_1_z,magnet_1_x,magnet_1_y,magnet_1_z,gyro_2_x,gyro_2_y,gyro_2_z,accel_2_x,accel_2_y,accel_2_z,magnet_2_x,magnet_2_y,magnet_2_z,gyro_3_x,gyro_3_y,gyro_3_z,accel_3_x,accel_3_y,accel_3_z,magnet_3_x,magnet_3_y,magnet_3_z
gx1,gy1,gz1,ax1,ay1,az1,0,0,0,gx2,gy2,gz2,ax2,ay2,az2,0,0,0,0,0,0,0,0,0,0,0,0
-146,-5,-231,344,656,16048,0,0,0,5600,-265,51,972,248,16320,0,0,0,0,0,0,0,0,0,0,0,0
-112,-6,-221,344,672,16052,0,0,0,5559,-249,42,1032,348,16388,0,0,0,0,0,0,0,0,0,0,0,0
-129,-1,-226,340,540,16096,0,0,0,5591,-251,60,1096,300,16356,0,0,0,0,0,0,0,0,0,0,0,0
-132,10,-215,316,584,16176,0,0,0,5599,-247,37,1012,268,16344,0,0,0,0,0,0,0,0,0,0,0,0
-113,18,-224,272,572,16064,0,0,0,5597,-257,43,1024,240,16584,0,0,0,0,0,0,0,0,0,0,0,0
-119,14,-222,412,576,15968,0,0,0,5600,-234,63,1048,324,16248,0,0,0,0,0,0,0,0,0,0,0,0
-115,13,-208,304,576,16072,0,0,0,5596,-241,40,1064,296,16364,0,0,0,0,0,0,0,0,0,0,0,0
-123,-10,-242,308,608,16140,0,0,0,5590,-239,50,940,176,16360,0,0,0,0,0,0,0,0,0,0,0,0
-143,10,-222,280,604,16108,0,0,0,5596,-246,52,1068,352,16424,0,0,0,0,0,0,0,0,0,0,0,0
-137,8,-260,288,704,16056,0,0,0,5627,-249,37,1016,268,16240,0,0,0,0,0,0,0,0,0,0,0,0
-116,6,-230,296,596,16204,0,0,0,5606,-239,63,1052,256,16340,0,0,0,0,0,0,0,0,0,0,0,0
-116,15,-212,312,552,16064,0,0,0,5595,-256,40,924,280,16436,0,0,0,0,0,0,0,0,0,0,0,0
-128,11,-229,352,604,16140,0,0,0,5604,-265,52,1008,308,16524,0,0,0,0,0,0,0,0,0,0,0,0
-127,2,-229,352,500,16164,0,0,0,5587,-244,52,1044,248,16356,0,0,0,0,0,0,0,0,0,0,0,0
-131,12,-219,336,560,16080,0,0,0,5610,-244,60,992,348,16544,0,0,0,0,0,0,0,0,0,0,0,0
-99,12,-225,348,604,15960,0,0,0,5615,-241,46,1036,368,16296,0,0,0,0,0,0,0,0,0,0,0,0
-109,15,-214,300,524,16156,0,0,0,5592,-273,54,984,228,16364,0,0,0,0,0,0,0,0,0,0,0,0
-108,-1,-219,340,584,16184,0,0,0,5578,-265,51,1024,236,16380,0,0,0,0,0,0,0,0,0,0,0,0
-119,-8,-221,288,484,16088,0,0,0,5607,-273,30,988,252,16320,0,0,0,0,0,0,0,0,0,0,0,0
-136,21,-231,308,444,16024,0,0,0,5584,-241,56,1032,244,16384,0,0,0,0,0,0,0,0,0,0,0,0
-140,3,-209,320,564,16036,0,0,0,5589,-253,43,928,336,16312,0,0,0,0,0,0,0,0,0,0,0,0
-134,11,-221,296,536,16136,0,0,0,5608,-263,70,1008,316,16524,0,0,0,0,0,0,0,0,0,0,0,0
-110,1,-228,328,480,16144,0,0,0,5584,-239,62,1104,392,16236,0,0,0,0,0,0,0,0,0,0,0,0
-131,7,-233,280,520,16228,0,0,0,5607,-249,57,1088,328,16328,0,0,0,0,0,0,0,0,0,0,0,0
-120,13,-221,276,520,16152,0,0,0,5597,-253,37,1024,268,16436,0,0,0,0,0,0,0,0,0,0,0,0
-122,21,-239,336,644,16048,0,0,0,5603,-252,72,1024,268,16548,0,0,0,0,0,0,0,0,0,0,0,0
-123,4,-203,320,564,15960,0,0,0,5621,-239,59,1048,260,16192,0,0,0,0,0,0,0,0,0,0,0,0
-117,-6,-220,216,520,16080,0,0,0,5617,-262,52,1000,280,16404,0,0,0,0,0,0,0,0,0,0,0,0
-137,8,-241,212,604,16064,0,0,0,5623,-239,45,1020,248,16384,0,0,0,0,0,0,0,0,0,0,0,0
-116,-14,-223,260,512,16128,0,0,0,5622,-239,48,968,252,16476,0,0,0,0,0,0,0,0,0,0,0,0
-107,4,-233,324,644,16128,0,0,0,5598,-237,55,984,296,16420,0,0,0,0,0,0,0,0,0,0,0,0
-127,4,-226,308,588,16056,0,0,0,5578,-248,56,988,256,16312,0,0,0,0,0,0,0,0,0,0,0,0
-137,20,-207,292,572,16088,0,0,0,5583,-260,52,1028,348,16344,0,0,0,0,0,0,0,0,0,0,0,0
-123,2,-215,296,544,16012,0,0,0,5600,-266,54,928,300,16308,0,0,0,0,0,0,0,0,0,0,0,0
-132,15,-228,368,588,15972,0,0,0,5616,-252,50,1020,244,16468,0,0,0,0,0,0,0,0,0,0,0,0
