gyro_0,gyro_1,gyro_2,accel_0,accel_1,accel_2,mag_0,mag_1,mag_2
0.0,0.001065,0.0,-0.063125,10.14875,0.255,0,0,0
0.0,0.001065,-0.001065,-0.04875,10.1625,0.234375,0,0,0
-0.001065,0.0,-0.001065,-0.03,10.154375,0.239375,0,0,0
0.0,0.0,-0.001065,-0.048125,10.16625,0.279375,0,0,0
-0.001065,0.001065,0.0,-0.0675,10.1675,0.26875,0,0,0
0.0,0.001065,-0.001065,-0.04875,10.158125,0.25625,0,0,0
0.0,0.001065,0.0,-0.04125,10.150625,0.254375,0,0,0
0.001065,0.001065,0.0,-0.038125,10.156875,0.258125,0,0,0
0.001065,0.001065,0.0,-0.045,10.165625,0.265625,0,0,0
0.001065,0.0,0.0,-0.0575,10.17,0.25125,0,0,0
0.0,0.001065,-0.001065,-0.0375,10.15125,0.25375,0,0,0
-0.001065,0.001065,0.0,-0.03875,10.168125,0.253125,0,0,0
-0.001065,0.002131,0.0,-0.055625,10.156875,0.2625,0,0,0
0.0,0.001065,0.0,-0.0625,10.155625,0.280625,0,0,0
0.0,0.001065,0.0,-0.05625,10.16375,0.2525,0,0,0
-0.001065,-0.001065,0.0,-0.030625,10.156875,0.2575,0,0,0
-0.001065,0.0,0.0,-0.04125,10.160625,0.264375,0,0,0
-0.001065,0.001065,0.0,-0.061875,10.15125,0.256875,0,0,0
0.0,0.001065,-0.001065,-0.04375,10.165625,0.26125,0,0,0
0.0,0.001065,-0.001065,-0.031875,10.163125,0.255,0,0,0
0.001065,0.0,-0.001065,-0.0475,10.159375,0.260625,0,0,0
0.0,0.0,-0.001065,-0.05625,10.16625,0.2625,0,0,0
-0.002131,0.001065,0.0,-0.053125,10.154375,0.2625,0,0,0
-0.001065,0.001065,-0.001065,-0.03375,10.159375,0.259375,0,0,0
0.0,0.002131,-0.001065,-0.0375,10.164375,0.27625,0,0,0
0.0,0.0,0.0,-0.051875,10.163125,0.26125,0,0,0
0.0,0.0,-0.002131,-0.058125,10.168125,0.241875,0,0,0
0.001065,-0.001065,-0.002131,-0.031875,10.164375,0.25375,0,0,0
0.0,0.001065,0.0,-0.04875,10.159375,0.251875,0,0,0
0.0,0.001065,-0.002131,-0.021875,10.16,0.278125,0,0,0
0.0,0.0,-0.001065,-0.095,10.1475,0.253125,0,0,0
0.001065,0.0,0.0,-0.046875,10.1625,0.25625,0,0,0
0.001065,0.001065,-0.002131,0.004375,10.1825,0.27375,0,0,0
-0.001065,0.001065,0.0,-0.05625,10.165,0.251875,0,0,0
0.0,0.0,0.0,-0.078125,10.161875,0.24375,0,0,0
0.0,0.0,-0.001065,-0.025,10.153125,0.259375,0,0,0
0.0,0.0,0.0,-0.033125,10.163125,0.255,0,0,0
-0.001065,0.0,0.0,-0.066875,10.166875,0.288125,0,0,0
0.0,0.0,0.0,-0.056875,10.16,0.271875,0,0,0
0.0,0.001065,0.0,-0.055,10.169375,0.2525,0,0,0
0.0,0.0,0.0,-0.045625,10.1625,0.248125,0,0,0
0.0,-0.001065,-0.001065,-0.03375,10.161875,0.261875,0,0,0
0.0,0.001065,0.0,-0.04375,10.1625,0.270625,0,0,0
-0.001065,0.001065,0.0,-0.07125,10.153125,0.265,0,0,0
0.001065,0.0,-0.001065,-0.040625,10.155,0.265,0,0,0
0.0,-0.001065,-0.001065,-0.020625,10.155,0.256875,0,0,0
0.0,0.001065,-0.001065,-0.054375,10.154375,0.276875,0,0,0
0.0,0.001065,0.001065,-0.065625,10.15875,0.269375,0,0,0
-0.001065,0.001065,-0.001065,-0.0525,10.16625,0.248125,0,0,0
0.001065,0.001065,-0.001065,-0.02125,10.171875,0.25625,0,0,0
0.002131,0.001065,0.0,-0.044375,10.1675,0.274375,0,0,0
0.001065,0.001065,-0.001065,-0.065,10.16375,0.265625,0,0,0
0.001065,0.001065,-0.001065,-0.055625,10.161875,0.273125,0,0,0
0.001065,0.002131,-0.001065,-0.03125,10.17125,0.254375,0,0,0
-0.001065,0.001065,0.0,-0.03625,10.149375,0.273125,0,0,0
0.0,0.0,0.0,-0.05875,10.155625,0.249375,0,0,0
0.002131,0.0,0.0,-0.066875,10.164375,0.258125,0,0,0
-0.001065,0.001065,0.0,-0.02625,10.16,0.25125,0,0,0
-0.001065,0.001065,-0.001065,-0.02125,10.15125,0.26,0,0,0
0.0,0.001065,0.0,-0.068125,10.16,0.265,0,0,0
0.0,0.0,0.0,-0.066875,10.15,0.246875,0,0,0
0.001065,0.001065,0.0,-0.029375,10.1575,0.24875,0,0,0
0.002131,0.0,-0.002131,-0.039375,10.164375,0.264375,0,0,0
0.0,0.001065,0.0,-0.060625,10.16875,0.274375,0,0,0
-0.001065,0.0,0.0,-0.06125,10.174375,0.25875,0,0,0
0.0,0.001065,0.0,-0.039375,10.16625,0.2525,0,0,0
0.0,0.002131,0.0,-0.035,10.15625,0.249375,0,0,0
0.001065,0.0,-0.001065,-0.044375,10.158125,0.279375,0,0,0
0.0,0.0,0.0,-0.06625,10.169375,0.27,0,0,0
0.0,0.0,0.0,-0.049375,10.164375,0.250625,0,0,0
0.0,0.001065,0.0,-0.023125,10.155,0.248125,0,0,0
0.0,0.001065,-0.001065,-0.0425,10.1675,0.270625,0,0,0
0.0,0.001065,0.0,-0.055,10.155,0.26875,0,0,0
0.001065,0.0,-0.001065,-0.05625,10.148125,0.26625,0,0,0
-0.001065,0.001065,-0.001065,-0.03375,10.1525,0.253125,0,0,0
0.0,0.001065,0.0,-0.035,10.159375,0.265,0,0,0
0.0,0.0,0.0,-0.0525,10.168125,0.27625,0,0,0
0.0,0.0,0.0,-0.064375,10.165625,0.25875,0,0,0
-0.001065,-0.001065,0.0,-0.030625,10.165,0.25875,0,0,0
0.0,-0.001065,0.0,-0.024375,10.165625,0.2475,0,0,0
0.0,0.0,0.0,-0.04875,10.148125,0.26625,0,0,0
0.0,0.0,-0.001065,-0.06375,10.15625,0.27625,0,0,0
0.0,0.001065,0.0,-0.059375,10.1525,0.261875,0,0,0
-0.001065,0.0,0.001065,-0.025625,10.159375,0.250625,0,0,0
0.002131,0.001065,0.0,-0.035,10.16625,0.266875,0,0,0
0.002131,0.001065,0.0,-0.0575,10.161875,0.2575,0,0,0
0.0,0.0,0.001065,-0.060625,10.15875,0.25625,0,0,0
0.0,0.001065,-0.001065,-0.026875,10.149375,0.25625,0,0,0
0.0,0.001065,-0.002131,-0.044375,10.1575,0.270625,0,0,0
0.001065,0.001065,-0.001065,-0.0575,10.159375,0.270625,0,0,0
