gyro_0, gyro_1, gyro_2, accel_0, accel_1, accel_2, mag_0, mag_1, mag_2
0.27,-10.32,14.36,0.11,-0.71,31.32,55.00,-6.83,3.33
0.27,-8.32,15.36,0.11,-0.71,30.95,54.67,-7.17,3.67
0.27,-9.32,17.36,0.11,-0.71,31.20,55.00,-7.00,3.17
0.27,-11.32,15.36,0.22,-0.71,31.20,54.33,-6.50,3.50
0.27,-10.32,15.36,0.22,-0.71,31.32,54.67,-7.17,3.17
0.27,-9.32,16.36,0.33,-0.60,31.08,54.50,-6.67,3.00
0.27,-10.32,15.36,0.11,-0.71,31.08,54.83,-6.83,3.00
0.27,-9.32,15.36,0.11,-0.71,31.20,54.67,-6.33,2.83
-0.73,-10.32,16.36,0.22,-0.71,31.08,55.00,-6.83,3.33
1.27,-11.32,16.36,0.22,-0.71,31.45,54.50,-6.67,3.50
-0.73,-9.32,15.36,0.22,-0.60,31.32,54.50,-6.67,3.17
0.27,-8.32,14.36,0.11,-0.71,31.32,53.67,-6.50,3.33
0.27,-9.32,15.36,0.00,-0.60,31.32,54.83,-6.83,3.17
0.27,-9.32,16.36,0.22,-0.71,31.32,54.50,-6.33,3.33
0.27,-10.32,15.36,0.22,-0.60,31.20,54.83,-6.83,3.00
1.27,-9.32,15.36,0.22,-0.82,31.08,55.17,-6.83,2.50
0.27,-11.32,15.36,0.00,-0.71,31.08,54.83,-6.33,3.67
-0.73,-9.32,15.36,0.22,-0.71,31.32,54.67,-6.67,3.33
0.27,-10.32,13.36,0.11,-0.71,31.08,55.00,-6.67,3.00
-0.73,-10.32,14.36,0.11,-0.71,31.45,54.33,-7.00,3.17
0.27,-10.32,16.36,0.11,-0.60,31.32,54.67,-6.50,3.33
1.27,-11.32,15.36,0.22,-0.49,31.20,54.83,-6.50,2.67
-0.73,-10.32,17.36,0.11,-0.71,31.08,54.83,-6.67,3.17
0.27,-9.32,16.36,0.22,-0.60,30.95,55.00,-6.83,3.00
0.27,-9.32,14.36,0.22,-0.49,31.32,55.17,-6.17,3.00
-0.73,-9.32,14.36,0.22,-0.60,31.20,55.17,-6.50,3.00
-0.73,-10.32,15.36,0.11,-0.71,31.20,54.83,-7.00,3.50
-0.73,-9.32,16.36,0.00,-0.71,31.20,55.00,-6.67,3.17
-1.73,-8.32,15.36,0.00,-0.71,31.20,54.67,-6.83,3.00
0.27,-9.32,17.36,0.33,-0.60,31.20,54.67,-6.50,3.50
-0.73,-9.32,14.36,0.11,-0.71,31.08,54.83,-6.83,3.67
-0.73,-9.32,15.36,0.22,-0.71,31.20,54.33,-6.83,3.33
0.27,-10.32,14.36,0.00,-0.71,31.08,54.67,-7.17,3.17
0.27,-9.32,16.36,0.00,-0.82,31.08,54.50,-6.50,3.33
-0.73,-8.32,15.36,0.22,-0.60,31.20,54.83,-6.33,3.17
-0.73,-10.32,17.36,0.11,-0.60,31.20,54.33,-6.67,3.33
1.27,-7.32,15.36,0.00,-0.60,31.20,55.00,-6.67,3.67
0.27,-11.32,16.36,0.11,-0.71,31.20,54.50,-6.33,3.00
-0.73,-9.32,13.36,0.11,-0.60,31.32,54.83,-6.50,3.67
0.27,-10.32,14.36,0.11,-0.71,31.20,54.83,-6.83,3.33
0.27,-9.32,16.36,0.11,-0.60,31.20,54.67,-6.83,3.33
0.27,-9.32,14.36,0.22,-0.71,31.45,54.50,-6.67,3.17
0.27,-9.32,15.36,0.11,-0.60,31.20,55.00,-6.83,3.33
1.27,-10.32,17.36,0.22,-0.71,31.08,54.67,-6.67,3.17
-0.73,-9.32,15.36,0.00,-0.60,31.32,54.83,-7.00,3.17
-0.73,-9.32,14.36,0.11,-0.71,31.32,54.83,-6.83,3.33
0.27,-8.32,16.36,0.22,-0.71,31.20,54.67,-6.67,3.17
-0.73,-9.32,16.36,0.11,-0.82,31.32,54.67,-7.00,3.33
0.27,-10.32,16.36,0.22,-0.60,31.08,54.50,-7.00,3.33
-0.73,-7.32,14.36,0.11,-0.60,31.20,54.67,-6.83,3.33
0.27,-10.32,16.36,0.22,-0.71,31.08,54.67,-6.83,3.00
1.27,-10.32,16.36,0.11,-0.71,31.08,55.17,-6.17,3.00
-0.73,-9.32,14.36,0.00,-0.82,31.45,54.67,-6.67,3.17
1.27,-10.32,15.36,0.00,-0.60,31.32,54.83,-6.33,3.67
-0.73,-9.32,14.36,0.22,-0.71,31.32,55.00,-6.33,3.17
-0.73,-9.32,15.36,0.11,-0.71,31.45,55.17,-7.00,3.17
1.27,-9.32,15.36,0.11,-0.60,31.20,54.83,-7.33,3.00
-0.73,-8.32,15.36,0.22,-0.49,31.32,54.67,-6.50,3.17
0.27,-10.32,16.36,0.11,-0.60,31.08,54.33,-6.83,3.00
-0.73,-9.32,16.36,0.22,-0.38,31.45,54.33,-6.83,3.00
0.27,-9.32,16.36,0.00,-0.60,31.20,55.00,-6.33,3.17
-0.73,-10.32,18.36,0.22,-0.71,31.20,54.33,-6.67,3.50
1.27,-11.32,15.36,-0.11,-0.71,31.08,54.83,-6.17,3.33
0.27,-9.32,16.36,0.11,-0.71,31.08,55.00,-7.17,3.00
1.27,-11.32,15.36,0.11,-0.71,31.20,55.17,-6.83,3.00
-0.73,-10.32,16.36,0.11,-0.60,31.08,54.67,-6.17,3.17
0.27,-10.32,17.36,0.11,-0.71,31.08,54.83,-6.50,3.17
0.27,-10.32,16.36,0.11,-0.60,31.20,54.67,-7.50,3.17
0.27,-10.32,15.36,0.22,-0.71,31.32,54.50,-7.00,3.33
0.27,-9.32,15.36,0.11,-0.49,31.32,55.00,-6.50,3.33
-0.73,-8.32,15.36,0.33,-0.60,31.20,54.33,-6.67,3.67
-0.73,-10.32,16.36,0.11,-0.82,31.32,54.67,-6.67,2.83
-0.73,-11.32,16.36,0.11,-0.82,31.20,54.50,-6.67,3.17
1.27,-9.32,15.36,0.11,-0.60,31.32,55.33,-6.83,3.00
-0.73,-10.32,17.36,0.22,-0.82,31.32,54.50,-6.67,2.83
-0.73,-10.32,16.36,0.22,-0.71,31.08,55.00,-6.83,3.17
-0.73,-8.32,15.36,-0.11,-0.71,31.20,54.67,-6.67,3.33
0.27,-9.32,15.36,0.11,-0.49,31.45,54.50,-6.83,3.00
0.27,-10.32,16.36,0.11,-0.82,31.08,55.00,-6.83,3.17
0.27,-9.32,15.36,0.00,-0.82,31.20,54.50,-6.67,3.33
-0.73,-10.32,16.36,0.11,-0.71,31.08,54.50,-7.33,3.17
1.27,-9.32,16.36,0.00,-0.60,31.08,54.67,-6.83,2.83
0.27,-10.32,15.36,0.11,-0.60,31.20,54.83,-6.33,2.83
-0.73,-11.32,17.36,0.11,-0.49,31.08,54.50,-6.83,3.17
